"Symbol","cor_th1_th2","cor_th1_th0","cor_th2_th0","cluster"
"Lgals9.1",0.741900196142204,0.951587939330254,0.715257198813929,1
"Cope",0.870630310372392,0.928505695167572,0.863345123589397,1
"Snx11",0.77019827893714,0.986705759270849,0.742957491787784,1
"Chd9.1",0.453116361007088,0.95599704571786,0.394683050593791,1
"Ift88",0.72183095849479,0.94593870980914,0.695845058472322,1
"Dync1i2.1",0.711439231390774,0.950104189506423,0.683760252368608,1
"4930402H24Rik",0.72162307096069,0.934647179633716,0.697324918042564,1
"1110037F02Rik",0.379928855668914,0.903421082779809,0.32047875963064,1
"Plscr2",-0.15091672248476,0.58232616282058,-0.234009037733412,1
"Keap1.1",0.719753287024141,0.938627366321862,0.693678385217235,1
"Lgals9",0.704156021840704,0.948855438374447,0.675099948560117,1
"Mest.2",0.229454959120663,0.323578187734885,0.218265788093728,1
"H2-T23",0.0530768989485061,0.901975705205774,-0.0470290378931545,1
"Pon2",0.546345411349056,0.88555342533309,0.506479702942159,1
"Pkn2.1",0.528971188258687,0.909049600275104,0.482940439153599,1
"Dhx58.1",0.825789553252996,0.944676354112457,0.811322476100522,1
"Il11ra1",0.8071717393844,0.985749324764673,0.785200335079353,1
"Il12a",-0.115253166894553,0.940333800634556,-0.244384214664919,1
"Fgl2",0.304392205875257,0.942702258171677,0.239572660405566,1
"Gnpda1",0.336618098388001,0.765495999334232,0.292516175488798,1
"Rnd3",-0.0140608064301546,0.859980132502212,-0.104394252904148,1
"Antxr2",0.645709685452918,0.984729822506824,0.610564135448,1
"Phf15",0.668528915579286,0.816369092380147,0.652951216113549,1
"Stat1.2",0.494019901825203,0.917274978819879,0.449045548433517,1
"Plek2",0.644816223145242,0.795182639682341,0.628307419518457,1
"Samd3.1",-0.27867057681158,0.861359167107429,-0.402655423830366,1
"Trafd1.2",0.830222040864782,0.975111926121179,0.81449223381347,1
"Bst2",-0.461570442881251,0.825007236876863,-0.600279208855107,1
"Adhfe1",-0.249751933587458,0.416674632892795,-0.321921738509927,1
"H2-D1.2",0.877324380206476,0.977537256076403,0.866489022586791,1
"Rnf216.1",0.0393286060194599,0.755879789064001,-0.0259461065368196,1
"Tcea3",0.529578427446089,0.929103811008177,0.492302746914333,1
"Mef2c.2",0.315590070088221,0.95442258363457,0.256011418573285,1
"Clpx",-0.0179098615864978,0.775511045262685,-0.0908363582434367,1
"Aqp1",0.171118462797258,0.406272569925939,0.149468182823464,1
"2900011O08Rik",0.585200570469684,0.907442431683888,0.555526811560267,1
"Ikzf3",0.215837223016087,0.838156566691084,0.158401457119485,1
"Piwil4",0.223921693777599,0.704729919139353,0.179432375149131,1
"Hist2h4",0.912745405152895,0.990683428093682,0.905026907150421,1
"Sco1.1",0.315809146101047,0.744483265629257,0.273354231665097,1
"Suhw2",0.574664778794971,0.891025484869527,0.54324371278774,1
"Tfdp2.1",0.879778841220107,0.95086353431335,0.872701181354271,1
