"annot","gene","celltype"
1,"Rtn4rl1","Th0"
2,"Tubb6","Th0"
2,"Mtbp","Th0"
1,"Atp9a","Th0"
2,"Ccdc92","Th0"
1,"5830434P21Rik","Th0"
2,"Fignl1","Th0"
2,"Dtymk","Th0"
2,"Polq","Th0"
2,"Elovl6","Th0"
2,"6230416J20Rik","Th0"
1,"Dusp23","Th0"
3,"Cycs","Th0"
2,"Hist1h2ah","Th0"
1,"Csk","Th0"
2,"H2-Oa","Th0"
2,"Acot7","Th0"
3,"Mrps2","Th0"
1,"Sept9","Th0"
1,"Esco1","Th0"
2,"Tex9","Th0"
3,"Krr1","Th0"
1,"Map3k1","Th0"
1,"D6Wsu176e","Th0"
1,"Camk1d","Th0"
2,"Uqcr","Th0"
2,"E2f2","Th0"
2,"Pik3ap1","Th0"
3,"Nubp1","Th0"
2,"Mbc2","Th0"
1,"Smug1","Th0"
1,"A130092J06Rik","Th0"
2,"Armcx1","Th0"
3,"Ddx1","Th0"
1,"Tbcel","Th0"
3,"Immt","Th0"
1,"Xpc","Th0"
2,"Egln1","Th0"
3,"Siah2","Th0"
3,"Tle6","Th0"
2,"Mettl4","Th0"
2,"Prc1","Th0"
1,"Stx1a","Th0"
3,"Sema7a","Th0"
1,"Trat1","Th0"
2,"Arrb1","Th0"
2,"Sdcbp2","Th0"
3,"Hic1","Th0"
2,"Xrcc6","Th0"
3,"Lilrb4","Th0"
2,"Mrpl1","Th0"
1,"Lyz2","Th0"
2,"Fgf2","Th0"
1,"Tspan32","Th0"
1,"Rbm38","Th0"
1,"Rag1ap1","Th0"
1,"Itgb7","Th0"
3,"Pex14","Th0"
1,"Cbx7","Th0"
2,"Abcb6","Th0"
2,"Eif2ak2","Th0"
3,"Ece2","Th0"
2,"Ifitm2","Th0"
2,"Gzf1","Th0"
1,"4933421E11Rik","Th0"
1,"BC057079","Th0"
2,"Lmnb1","Th0"
1,"Nfatc3","Th0"
3,"Yrdc","Th0"
2,"Snai3","Th0"
3,"Ipo5","Th0"
2,"H2-DMa","Th0"
1,"Sidt1","Th0"
1,"Sec16a","Th0"
2,"Capsl","Th0"
3,"Hras1","Th0"
2,"2410004L22Rik","Th0"
2,"Hif1a","Th0"
2,"C1qdc2","Th0"
2,"Hdac7","Th0"
2,"Ahnak","Th0"
2,"Mlycd","Th0"
2,"Map3k12","Th0"
1,"Mylc2b","Th0"
1,"Prr7","Th0"
2,"Lrp11","Th0"
3,"Bcl6","Th0"
2,"Arl6","Th0"
1,"Prkag1","Th0"
1,"Pscd3","Th0"
1,"4930486L24Rik","Th0"
1,"Pik3ip1","Th0"
2,"Nckap1l","Th0"
2,"S100a1","Th0"
2,"Tfb1m","Th0"
1,"Trim56","Th0"
1,"Laptm5","Th0"
1,"Cd22","Th0"
1,"Fcrls","Th0"
3,"Pop1","Th0"
1,"Tmem71","Th0"
2,"Cox7b","Th0"
3,"Atp2a2","Th0"
2,"Pcaf","Th0"
1,"Cd3g","Th0"
1,"Zfp429","Th0"
1,"Morc3","Th0"
2,"Ppt1","Th0"
3,"Thop1","Th0"
1,"Rfx2","Th0"
2,"4930539E08Rik","Th0"
2,"1700019E19Rik","Th0"
2,"Cenpf","Th0"
2,"1110001A07Rik","Th0"
3,"Ptcd3","Th0"
2,"Nsdhl","Th0"
2,"Plcxd1","Th0"
1,"Cotl1","Th0"
1,"Vps54","Th0"
2,"Cryz","Th0"
1,"Psen2","Th0"
1,"Qpct","Th0"
3,"Ccr8","Th0"
1,"C630004H02Rik","Th0"
1,"Lmo4","Th0"
1,"Setd4","Th0"
1,"Ccr6","Th0"
3,"5830427D03Rik","Th0"
3,"Nol9","Th0"
3,"Irf4","Th0"
3,"Gsto1","Th0"
3,"Tomm22","Th0"
3,"Napa","Th0"
2,"EG330305","Th0"
2,"Atic","Th0"
3,"Entpd6","Th0"
2,"Akr1c12","Th0"
1,"Ash1l","Th0"
2,"Pygl","Th0"
1,"Ifngr1","Th0"
1,"Emr1","Th0"
1,"Elac1","Th0"
3,"Snrpd2","Th0"
2,"Id2","Th0"
1,"Snn","Th0"
1,"Rccd1","Th0"
2,"Mipep","Th0"
1,"Pecam1","Th0"
2,"Cuedc1","Th0"
2,"Pde7a","Th0"
2,"Dab2ip","Th0"
2,"Fkbp2","Th0"
2,"Serpina3g","Th0"
2,"Upp1","Th0"
3,"Ran","Th0"
3,"1300001I01Rik","Th0"
2,"Cdca3","Th0"
2,"Srp54","Th0"
3,"AK122525","Th0"
2,"Tlr6","Th0"
2,"Gnpda1","Th0"
1,"D12Ertd551e","Th0"
2,"Espl1","Th0"
3,"Prdx1","Th0"
2,"Mxi1","Th0"
2,"Glrx3","Th0"
3,"Fkbp11","Th0"
1,"Actn2","Th0"
2,"Cdt1","Th0"
1,"Txndc13","Th0"
3,"Usp54","Th0"
2,"Rxra","Th0"
2,"Tceal8","Th0"
1,"Gmfg","Th0"
3,"Hsd17b7","Th0"
1,"AI662250","Th0"
