annot,gene,celltype,annot_new
3,Tmem71,Th0,3
2,Cox7b,Th0,2
1,Atp2a2,Th0,1
2,Pcaf,Th0,2
3,Cd3g,Th0,3
3,Zfp429,Th0,3
3,Morc3,Th0,3
2,Ppt1,Th0,2
1,Thop1,Th0,1
3,Rfx2,Th0,3
2,4930539E08Rik,Th0,2
2,1700019E19Rik,Th0,2
2,Cenpf,Th0,2
2,1110001A07Rik,Th0,2
1,Ptcd3,Th0,1
2,Nsdhl,Th0,2
2,Plcxd1,Th0,2
3,Cotl1,Th0,3
3,Vps54,Th0,3
2,Cryz,Th0,2
3,Psen2,Th0,3
3,Qpct,Th0,3
1,Ccr8,Th0,1
3,C630004H02Rik,Th0,3
3,Lmo4,Th0,3
3,Setd4,Th0,3
3,Ccr6,Th0,3
1,5830427D03Rik,Th0,1
1,Nol9,Th0,1
1,Irf4,Th0,1
1,Gsto1,Th0,1
1,Tomm22,Th0,1
1,Napa,Th0,1
2,EG330305,Th0,2
2,Atic,Th0,2
1,Entpd6,Th0,1
2,Akr1c12,Th0,2
3,Ash1l,Th0,3
2,Pygl,Th0,2
3,Ifngr1,Th0,3
3,Emr1,Th0,3
3,Elac1,Th0,3
1,Snrpd2,Th0,1
2,Id2,Th0,2
3,Snn,Th0,3
3,Rccd1,Th0,3
2,Mipep,Th0,2
3,Pecam1,Th0,3
2,Cuedc1,Th0,2
2,Pde7a,Th0,2
2,Dab2ip,Th0,2
2,Fkbp2,Th0,2
2,Serpina3g,Th0,2
2,Upp1,Th0,2
1,Ran,Th0,1
1,1300001I01Rik,Th0,1
2,Cdca3,Th0,2
2,Srp54,Th0,2
1,AK122525,Th0,1
2,Tlr6,Th0,2
2,Gnpda1,Th0,2
3,D12Ertd551e,Th0,3
2,Espl1,Th0,2
1,Prdx1,Th0,1
2,Mxi1,Th0,2
2,Glrx3,Th0,2
1,Fkbp11,Th0,1
3,Actn2,Th0,3
2,Cdt1,Th0,2
3,Txndc13,Th0,3
1,Usp54,Th0,1
