"gene","celltype","annot"
"Mcm10","Th0",2
"D4Wsu132e","Th0",3
"2310008H09Rik","Th0",1
"Wars","Th0",1
"Hectd3","Th0",3
"Cd80","Th0",2
"Itgad","Th0",3
"Tnfaip8l2","Th0",3
"Rdh11","Th0",2
"Eif4enif1","Th0",2
"Ddx21","Th0",1
"Ifi202b.1","Th0",2
"F2rl2","Th0",2
"Tpcn1","Th0",3
"BC031353","Th0",3
"Spnb2","Th0",3
"Dgat2","Th0",1
"Pmvk","Th0",2
"A430107D22Rik","Th0",3
"Mapk1ip1.1","Th0",3
"Hmgn3","Th0",2
"Gimap7","Th0",3
"Rangrf","Th0",1
"Pola2","Th0",2
"Rtn4rl1","Th0",3
"Tubb6","Th0",2
"Mtbp","Th0",2
"Atp9a","Th0",3
"Ccdc92","Th0",2
"5830434P21Rik","Th0",3
"Fignl1","Th0",2
"Dtymk","Th0",2
"Polq","Th0",2
"Elovl6","Th0",2
"Ifit3","Th0",2
"6230416J20Rik","Th0",2
"Dusp23","Th0",3
"Cycs","Th0",1
"Fcrla","Th0",3
"Rbbp7","Th0",2
"Hist1h2ah","Th0",2
"Igf2r","Th0",3
"Csk","Th0",3
"H2-Oa","Th0",2
"Trak2","Th0",3
"Acot7","Th0",2
"Elac2","Th0",1
"Slc10a7","Th0",2
"Mrps2","Th0",1
"Sept9","Th0",3
"Acsl5","Th0",2
"Esco1","Th0",3
"Tex9","Th0",2
"Krr1","Th0",1
"2410002F23Rik","Th0",1
"Map3k1","Th0",3
"D6Wsu176e","Th0",3
"Camk1d.1","Th0",3
"Uqcr","Th0",2
"E2f2","Th0",2
"Pik3ap1","Th0",2
"Faah","Th0",3
"Atp2a2","Th0",1
"Sema3b","Th0",2
"Nubp1","Th0",1
"Mbc2","Th0",2
"Rassf2","Th0",3
"Myo5a","Th0",1
"Smug1","Th0",3
"A130092J06Rik","Th0",3
"Impact","Th0",3
"Gprasp1","Th0",3
"Armcx1","Th0",2
"Elmo1.2","Th0",3
"Ddx1","Th0",1
"Tbcel","Th0",3
"Ak2.1","Th0",1
"Immt","Th0",1
"Xpc.1","Th0",3
"Manba","Th0",2
"Actb","Th0",2
"Egln1","Th0",2
"Siah2","Th0",1
"Tle6","Th0",1
"Mettl4","Th0",1
"Prc1","Th0",2
"Stx1a","Th0",3
"Sema7a","Th0",1
"Tirap","Th0",2
"Trat1","Th0",3
"Arrb1.1","Th0",2
"Sdcbp2","Th0",2
"Hic1","Th0",1
"Nudt21","Th0",2
"Xrcc6","Th0",2
"Cycs.1","Th0",2
"Lilrb4.1","Th0",1
"Mrpl1","Th0",2
"Lyz2","Th0",3
"Fgf2","Th0",2
"Tspan32","Th0",3
"Gnb5","Th0",2
"Rbm38","Th0",3
"Rag1ap1","Th0",3
"Zfp296","Th0",1
"Pus10","Th0",2
"Itgb7","Th0",3
"Pex14","Th0",1
"Rapgef6","Th0",3
"Cbx7","Th0",3
"Abcb6","Th0",2
"Eif2ak2","Th0",2
"Ece2","Th0",1
"Sema7a.1","Th0",1
"Mrps10","Th0",1
"Lsm12.1","Th0",2
"Ifitm2","Th0",2
"Gzf1","Th0",2
"4933421E11Rik","Th0",3
"BC057079","Th0",2
"Lmnb1","Th0",2
"Nfatc3","Th0",3
"Yrdc","Th0",1
"Snai3","Th0",2
"Ipo5","Th0",1
"Eif4e3","Th0",2
"H2-DMa.1","Th0",3
"Sidt1","Th0",3
"Sec16a","Th0",3
"Capsl","Th0",2
"Hras1","Th0",1
"2410004L22Rik","Th0",2
"Hif1a.1","Th0",2
"C1qdc2","Th0",2
"Hdac7","Th0",2
"Ahnak.1","Th0",2
"2510009E07Rik","Th0",3
"Mlycd","Th0",3
"Rnf167","Th0",3
"Map3k12","Th0",2
"Mylc2b","Th0",3
"Prr7","Th0",3
"Lrp11","Th0",2
"Hprt1","Th0",2
"Bcl6","Th0",3
"Arl6","Th0",2
"Sdcbp2.1","Th0",2
"Prkag1","Th0",3
"Pscd3","Th0",3
"4930486L24Rik","Th0",3
"St6galnac4","Th0",1
"Pik3ip1","Th0",3
"Nckap1l","Th0",3
"Pkp2","Th0",2
"S100a1","Th0",2
"Tfb1m","Th0",2
"Trim56","Th0",3
"Laptm5","Th0",3
"Cd22","Th0",3
"Fcrls","Th0",3
"Pop1","Th0",1
"Tmem71","Th0",3
"Cox7b","Th0",2
"Atp2a2.1","Th0",1
"Pcaf","Th0",3
"Cd3g","Th0",3
"Zfp429.1","Th0",3
"Morc3","Th0",3
"Ppt1","Th0",2
"Sars","Th0",1
"Vipr1","Th0",3
"Thop1","Th0",1
"Rfx2","Th0",3
"Mapk6.1","Th0",1
"4930539E08Rik","Th0",2
"Grwd1","Th0",1
"1700019E19Rik","Th0",2
"Cenpf","Th0",2
"Cd97","Th0",3
"1110001A07Rik","Th0",2
"Ptcd3","Th0",1
"Nsdhl","Th0",2
"Cd27","Th0",3
"Plcxd1.1","Th0",2
"Prpf40a","Th0",2
"Cotl1","Th0",3
"Vps54","Th0",3
"Tmem33.1","Th0",1
"Cryz","Th0",2
"Psen2","Th0",3
"Qpct","Th0",3
"Ccr8","Th0",1
"C630004H02Rik","Th0",3
"Dlgap4","Th0",3
"Lmo4","Th0",3
"Setd4","Th0",3
"Ccr6","Th0",3
"5830427D03Rik","Th0",3
"Nol9","Th0",1
"Irf4","Th0",1
"Gsto1","Th0",1
"Tomm22","Th0",2
"Napa","Th0",1
"EG330305","Th0",2
"Pde6d.1","Th0",2
"Atic","Th0",2
"Entpd6","Th0",3
"Akr1c12","Th0",2
"Ash1l","Th0",3
"Pygl","Th0",2
"Ifngr1","Th0",3
"Map3k1.1","Th0",3
"Cd6.1","Th0",1
"Emr1","Th0",3
"Elac1.1","Th0",3
"Snrpd2","Th0",1
"Id2","Th0",3
"Snn","Th0",3
"Rccd1","Th0",3
"Mipep","Th0",2
"Pecam1","Th0",3
"Cuedc1","Th0",2
"Pde7a","Th0",2
"Dab2ip","Th0",2
"Fkbp2","Th0",2
"Hus1.1","Th0",1
"Serpina3g","Th0",2
"Upp1","Th0",2
"Ran","Th0",1
"1300001I01Rik","Th0",1
"Cdca3","Th0",2
"Srp54","Th0",2
"AK122525","Th0",1
"Tlr6","Th0",3
"Gnpda1","Th0",2
"D12Ertd551e","Th0",3
"Espl1","Th0",2
"Prdx1.1","Th0",1
"Gyg","Th0",2
"Mxi1","Th0",2
"Glrx3","Th0",2
"Nfatc3.1","Th0",3
"Fkbp11","Th0",1
"Actn2","Th0",3
"Cdt1","Th0",2
"Txndc13","Th0",3
"Usp54","Th0",1
"Rxra","Th0",2
"Tceal8","Th0",2
"Gmfg","Th0",3
"Hsd17b7","Th0",2
"AI662250","Th0",3
"Emp3","Th0",3
"Tmem42","Th0",3
"Prdm16.1","Th0",2
"Polr3e","Th0",1
"St3gal4","Th0",2
"Ttc19","Th0",1
"Selplg","Th0",3
"4933439C20Rik","Th0",3
"Mrpl54","Th0",1
"Ndufa12","Th0",1
"Pkn1.1","Th0",3
"Hspa2","Th0",2
"Snx25","Th0",2
"Arl6ip5","Th0",3
"Copz2.1","Th0",2
"Spag9","Th0",1
"Mettl1","Th0",1
"Akna","Th0",3
"Nedd9","Th0",3
"Cd55","Th0",3
"Tgif1","Th0",1
"Adarb1","Th0",1
"Mrps18a","Th0",1
"Anp32a","Th0",2
"Cdipt.1","Th0",3
"Arhgdib","Th0",3
"5430432M24Rik","Th0",2
"Pip5k1b","Th0",2
"Mov10","Th0",2
"Pcaf.1","Th0",3
"H2afx","Th0",2
"Suv39h1","Th0",2
"Rasgrp2.1","Th0",3
"Arfgap3","Th0",2
"Atf3","Th0",1
"Clec2i","Th0",3
"Slc16a3","Th0",2
"Mybbp1a","Th0",1
"Kcnk10","Th0",2
"2510002D24Rik","Th0",3
"Ndor1.1","Th0",1
"Eno2","Th0",2
"1700029G01Rik","Th0",1
"Vapa","Th0",2
"Ppp1ca","Th0",2
"Rab3ip","Th0",3
"Numa1","Th0",3
"Rg9mtd2","Th0",1
"Apobec1","Th0",2
"Mettl3","Th0",3
"Mllt3.1","Th0",3
"Tgif2","Th0",1
"Hsp90aa1","Th0",1
"Nap1l1","Th0",2
"D12Ertd647e.1","Th0",3
"Uros.1","Th0",3
"Mbd1","Th0",3
"2310037I24Rik","Th0",3
"Hist1h2ai","Th0",2
"Prkcz.1","Th0",3
"1110007M04Rik","Th0",1
"Arrb2","Th0",3
"Uxt","Th0",1
"BC029214","Th0",3
"Dgkz","Th0",3
"Prei4","Th0",3
"Mdh2","Th0",1
"Scp2","Th0",3
"Hist2h2aa2","Th0",2
"Frmd6","Th0",1
"Rmnd1","Th0",3
"Spint2","Th0",2
"Taf9","Th0",2
"Sp100","Th0",3
"Spp1","Th0",2
"Chek1.1","Th0",2
"Atg4d","Th0",3
"Angel2","Th0",3
"Dut","Th0",2
"Klhdc5","Th0",3
"Mina","Th0",1
"Ap2s1","Th0",2
"1700027N10Rik","Th0",2
"Fbxo33","Th0",3
"Dusp2","Th0",1
