"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"IRF7_01" "IRF7_01" "IRF7_01" "25/779" "162/7293" 0.0369776296638972 0.502132220109082 0.481557392298183 "Oasl1/Nfix/Dtx3l/Nrp1/Gdi1/Itgb7/Rapgef6/Map2k6/Usp18/Angptl4/Kpna3/Nr4a3/Bst2/Epsti1/Cxcl10/Nr4a2/Tubd1/Casp7/Evl/Ythdf2/Rbl1/Tia1/Pik3cd/Gngt2/Agpat4" 25
"ETS2_B" "ETS2_B" "ETS2_B" "29/779" "194/7293" 0.0379572602808464 0.502132220109082 0.481557392298183 "Pus7l/Nrp1/Tbc1d10c/Psip1/Creb3/Itgb7/Dab2ip/Arhgdib/Ppp1r9b/Trpc4ap/Strbp/Cdkn1b/Spata6/Itpr2/Furin/Usp3/Vcl/Bzw2/Tmem154/Lgals4/Sipa1/Tsc22d3/Arhgef6/Pprc1/Arhgap30/Stx5a/Slc9a3r1/Arhgap4/Rwdd4a" 29
"E2F1DP1RB_01" "E2F1DP1RB_01" "E2F1DP1RB_01" "23/779" "147/7293" 0.0384805908591338 0.502132220109082 0.481557392298183 "Slco3a1/Mcm6/Arid4a/Aldh6a1/Pola2/Tbx6/Mat2a/Mcm2/Ddb2/Nasp/Fhod1/Cdc25a/Acbd6/Kpnb1/Ppp1cc/Sumo1/Nup62/Ints7/Ctdsp1/Eed/Pcna/Zmym2/Mcm3" 23
"E2F1_Q6" "E2F1_Q6" "E2F1_Q6" "24/779" "155/7293" 0.039015599751435 0.502132220109082 0.481557392298183 "Slco3a1/Mcm6/Arid4a/Aldh6a1/Tbx6/Ssbp3/Mcm2/Prpf38a/Prkdc/Tmem108/Mcm4/Nasp/Fhod1/Serbp1/Cdc25a/Acbd6/Kpnb1/Sumo1/Nup62/Rbl1/Eed/Pcna/Hmga1/Mcm3" 24
"ISRE_01" "ISRE_01" "ISRE_01" "25/779" "163/7293" 0.0394392497817792 0.502132220109082 0.481557392298183 "Dtx3l/Map2k6/Usp18/Atxn7l1/Zbp1/Angptl4/Kpna3/H2-M3/Bst2/Tmem108/Prkd2/Homer1/Epsti1/Cxcl10/Aif1/Zer1/Ehd4/Otx1/Hpcal1/Arhgef6/Sla/Dhx58/Fyco1/Tbx21/Etv6" 25
"FOXO1_01" "FOXO1_01" "FOXO1_01" "22/779" "140/7293" 0.0405442910327138 0.502132220109082 0.481557392298183 "Slc38a2/Bcl11b/Lag3/Ddit4/Nfix/Arid4a/Lmo4/Ssbp3/Ntrk3/Atxn7l1/Pdcd4/Prpf38a/Lasp1/Wipi2/Nr4a2/Usp3/Zadh2/Itpr3/Taz/Klhdc2/Foxn3/Hbp1" 22
"E2F_Q3_01" "E2F_Q3_01" "E2F_Q3_01" "23/779" "148/7293" 0.0411583076896721 0.502132220109082 0.481557392298183 "Mcm6/Arid4a/Usp1/Pola2/Uxt/Tbx6/Ppp1r9b/Mcm2/Prkdc/Tipin/Ddb2/Mcm4/Nasp/Serbp1/Cdc25a/Acbd6/Kpnb1/Ints7/Pprc1/Pcna/Zmym2/Hmga1/Mcm3" 23
"TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "TTCNRGNNNNTTC_HSF_Q6" "17/779" "102/7293" 0.0412826825257467 0.502132220109082 0.481557392298183 "Zbtb32/Acot7/Mxd4/Mat2a/Nr4a3/Ube2b/Hspe1/Parp16/Ywhae/Edn1/Eif4a2/Cct7/Zfp148/Ahsa1/Fosb/St13/Jak1" 17
"SREBP1_Q6" "SREBP1_Q6" "SREBP1_Q6" "24/779" "158/7293" 0.0472946727764323 0.555733115340665 0.532961995107703 "Slco3a1/Nfix/Coro1a/Immt/Stx1a/Hif1a/Anp32a/Arhgdib/Kcnk10/Ntrk3/Atxn7l1/Lasp1/Prkd2/Ddx6/Dctn1/Kpnb1/Sox12/Itpr3/Ager/Fchsd2/Pkp3/Arhgap30/Dhx58/Zfp593" 24
"ER_Q6_02" "ER_Q6_02" "ER_Q6_02" "25/779" "166/7293" 0.0475543437623724 0.555733115340665 0.532961995107703 "Cep97/Slco3a1/Madd/Creb3/Cox7b/Tbx6/Smpd1/Nr6a1/Rhoq/Slc16a6/Fh1/Bzw2/Sox12/Cuta/Cd37/Chd2/Aoc2/Cox6c/Elk3/Slc7a3/Commd3/Sh3bp1/Dbndd2/Tmem43/Rfx1" 25
