"gs_name","gene_symbol"
"Stat1","Pprc1"
"Stat1","Ino80"
"Stat1","Nsd3"
"Stat1","Sugct"
"Stat1","Mrpl44"
"Stat1","Med7"
"Stat1","Mplkip"
"Stat1","Abhd11"
"Stat1","Ccdc25"
"Stat1","Nme1"
"Stat1","Ppa1"
"Stat1","Gbp4"
"Stat1","Exosc4"
"Stat1","Ifi44"
"Stat1","Farsa"
"Stat1","Fas"
"Stat1","Nudcd1"
"Stat1","Eny2"
"Stat1","Aig1"
"Stat1","Taf5"
"Stat1","Utp3"
"Stat1","Ubr1"
"Stat1","Zfp456"
"Stat1","Ube2j2"
"Stat1","Rab18"
"Stat1","H4c3"
"Stat1","Taco1"
"Stat1","Wdr7"
"Stat1","Akap10"
"Stat1","Mzt2"
"Stat1","Ndufv1"
"Stat1","Ubb"
"Stat1","Ap1g1"
"Stat1","Arl8b"
"Stat1","Spty2d1"
"Stat1","Zfp1"
"Stat1","Tmem101"
"Stat1","Nuf2"
"Stat1","Wdr36"
"Stat1","Orai1"
"Stat1","Psme1"
"Stat1","Nfkbiz"
"Stat1","Dcp1a"
"Stat1","Tnfaip3"
"Stat1","Muc1"
"Stat1","Ccl3"
"Stat1","Il18"
"Stat1","Bco2"
"Stat1","Ssbp2"
"Stat1","Lilr4b"
"Stat1","Fyco1"
"Stat1","Dennd6b"
"Stat1","Insig1"
"Stat1","Trim26"
"Stat1","Gm3448"
"Stat1","Gm3417"
"Stat1","Rpl27"
"Stat1","Opa1"
"Stat1","Isg20"
"Stat1","Xrcc6"
"Stat1","Desi1"
"Stat1","Arl6ip1"
"Stat1","Zfp473"
"Stat1","Vrk3"
"Stat1","B3gntl1"
"Stat1","Med23"
"Stat1","Fam227b"
"Stat1","Dtwd1"
"Stat1","Stag1"
"Stat1","Tnfaip8"
"Stat1","Drg2"
"Stat1","Cutc"
"Stat1","Cox15"
"Stat1","Prpf18"
"Stat1","Trib1"
"Stat1","Cenpu"
"Stat1","Tcerg1"
"Stat1","Kifc5b"
"Stat1","Nsfl1c"
"Stat1","Csf2ra"
"Stat1","Htra2"
"Stat1","Atf6"
"Stat1","Stxbp3"
"Stat1","Mrpl39"
"Stat1","Tatdn3"
"Stat1","Nsl1"
"Stat1","Cpsf1"
"Stat1","Dffb"
"Stat1","Cep104"
"Stat1","Pibf1"
"Stat1","Dis3"
"Stat1","Tcte3"
"Stat1","Rnf44"
"Stat1","Nvl"
"Stat1","Xrn2"
"Stat1","Mcl1"
"Stat1","Mtf2"
"Stat1","Prr14l"
"Stat1","Ikzf4"
"Stat1","Lilrb4a"
"Stat1","Mrpl1"
"Stat1","Pa2g4"
"Stat1","Helz2"
"Stat1","Flot1"
"Stat1","Rbck1"
"Stat1","Snrnp200"
"Stat1","1810024B03Rik"
"Stat1","Lig4"
"Stat1","Htt"
"Stat1","Nup54"
"Stat1","Mettl25"
"Stat1","Ccdc59"
"Stat1","Mtg1"
"Stat1","C1d"
"Stat1","Tcf4"
"Stat1","Atp7a"
"Stat1","Pex3"
"Stat1","Adat2"
"Stat1","Uchl5"
"Stat1","Ro60"
"Stat1","Stx16"
"Stat1","Mrpl52"
"Stat1","Phax"
"Stat1","Aldh7a1"
"Stat1","Slfn10-ps"
