"gene","Th1","Th2","category","model"
"Dmwd.1",0.357359277901674,0.739181615501463,"Superpos","Th1/2"
"Dnalc1",0.283285965546983,0.520734636470299,"Th2like","Th1/2"
"Dnalc1.1",0.123521347599704,0.661885929610209,"Th2like","Th1/2"
"Dph3.2",0.562913405130831,0.56426317449924,"Th2like","Th1/2"
"Dtx3l",0.322815363908576,0.587723062250483,"Th2like","Th1/2"
"Dus4l",0.450178691958703,0.661249443941297,"Th2like","Th1/2"
"Dusp14",-0.0966187871852137,0.584572050066336,"Th2like","Th1/2"
"Dusp7",0.214391065303101,0.664171447794237,"Th2like","Th1/2"
"Dyrk1b.2",0.589889515121802,0.538926894632269,"Superpos","Th1/2"
"Ecm1",-0.176466301255296,1.11123856990822,"Th2like","Th1/2"
"Ecm1.1",0.102264085785586,0.955042746101675,"Th2like","Th1/2"
"Edem2.2",0.569690604010334,0.508435970310266,"Ind","Th1/2"
"Edem2.3",0.31814003821147,0.682122761206968,"Th2like","Th1/2"
"Edn1",-0.117993307238508,1.27170219142852,"Th2like","Th1/2"
"Efna5",-0.291332063405798,1.03777029530817,"Th2like","Th1/2"
"EG240327",0.575721391085089,0.555290026970638,"Th1like","Th1/2"
"EG330305",0.730963137907332,0.68550202419099,"Th2like","Th1/2"
"EG433923",0.368578870834176,0.57170343147618,"Ind","Th1/2"
"EG630499",0.640994408944514,0.269797867845843,"Ind","Th1/2"
"EG630499.1",0.939199613877281,0.148964152735974,"Ind","Th1/2"
"Ehd3",0.28012883354848,0.785631228915326,"Th2like","Th1/2"
"Eif2ak2",0.405900318897513,0.557431896434136,"Ind","Th1/2"
"Eif4enif1",0.701163223394874,0.559588994218004,"Ind","Th1/2"
"Eif4enif1.1",0.521129064101129,0.797464824631602,"Ind","Th1/2"
"Elmo2.2",0.175653879731527,0.852648298417944,"Ind","Th1/2"
"Emr1",0.264587919882192,0.75882783201953,"Th2like","Th1/2"
"Endod1",0.278339481440074,0.952867223594939,"Th2like","Th1/2"
"Enox2",0.539644632796967,0.511644408046994,"Superpos","Th1/2"
"Enpp4",0.306191903444096,0.762329899136261,"Th2like","Th1/2"
"Entpd4.1",0.0654076326618478,0.984656429161113,"Th2like","Th1/2"
"Eomes",0.126044096793634,1.05336491416844,"Th2like","Th1/2"
"Epm2aip1.3",0.605844005689381,0.27989183012752,"Ind","Th1/2"
"Eps8",0.771699674770592,0.014111173184424,"Th1like","Th1/2"
"Epsti1",0.149702655630175,0.74979782230856,"Th2like","Th1/2"
"Epsti1.2",0.185494968478863,0.808185582068622,"Th2like","Th1/2"
"Ercc2.1",0.774068127074344,0.267037368449262,"Ind","Th1/2"
"Ets1.1",0.407030203561812,0.663561586149842,"Ind","Th1/2"
"Etv6",0.253337158253634,0.963560865783614,"Th2like","Th1/2"
"Evi2a.1",-0.0872555492062485,0.926409774073253,"Ind","Th1/2"
"Exosc8",-0.209721387342141,1.10570616045599,"Th2like","Th1/2"
"F2rl2",-0.0780524121212785,0.871797518146229,"Th2like","Th1/2"
"Fah",0.173200521593897,0.737524644769177,"Ind","Th1/2"
"Fancl.1",0.12722676226003,0.901011807745596,"Ind","Th1/2"
"Fars2",1.26320942026059,-0.15584332277154,"Th1like","Th1/2"
"Fastkd1",1.13103732035043,0.00821301444460355,"Th1like","Th1/2"
"Fbxl12.1",0.230194724752063,0.706218168046069,"Th2like","Th1/2"
