"ftest","pvalue","gene","model"
"Th1vsMixed",0.308075413057071,"Fgl2","Th1/2"
"Th2vsMixed",0.0363160194508799,"Fgl2","Th1/2"
"Th1vsMixed",0.00192028754341294,"Fhl2","Th1/2"
"Th2vsMixed",0.545891097241888,"Fhl2","Th1/2"
"Th1vsMixed",0.0119001210297651,"Fmnl3.1","Th1/2"
"Th2vsMixed",0.0873314042924667,"Fmnl3.1","Th1/2"
"Th1vsMixed",0.00636998909980195,"Fos","Th1/2"
"Th2vsMixed",0.0406524523963554,"Fos","Th1/2"
"Th1vsMixed",0.000100889577826854,"Foxq1","Th1/2"
"Th2vsMixed",0.878892833452461,"Foxq1","Th1/2"
"Th1vsMixed",0.0252546200830028,"Fscn1","Th1/2"
"Th2vsMixed",0.740226478566158,"Fscn1","Th1/2"
"Th1vsMixed",0.000155368477118473,"Furin","Th1/2"
"Th2vsMixed",0.000934567718757657,"Furin","Th1/2"
"Th1vsMixed",0.000633299784943593,"Furin.2","Th1/2"
"Th2vsMixed",0.000118255726869747,"Furin.2","Th1/2"
"Th1vsMixed",5.59488063616992e-05,"Gata3","Th1/2"
"Th2vsMixed",0.0666231648310219,"Gata3","Th1/2"
"Th1vsMixed",0.00813262447685527,"Gbp1","Th1/2"
"Th2vsMixed",0.0289278573635618,"Gbp1","Th1/2"
"Th1vsMixed",0.000480589382639233,"Gbp3.1","Th1/2"
"Th2vsMixed",0.00740187194164072,"Gbp3.1","Th1/2"
"Th1vsMixed",0.00584016314319942,"Gbp5","Th1/2"
"Th2vsMixed",0.00749804242217882,"Gbp5","Th1/2"
"Th1vsMixed",0.2639934615849,"Gbp5.1","Th1/2"
"Th2vsMixed",0.593965989964203,"Gbp5.1","Th1/2"
"Th1vsMixed",0.00204771020442255,"Gbp6","Th1/2"
"Th2vsMixed",0.297146101002764,"Gbp6","Th1/2"
"Th1vsMixed",0.00302070638056286,"Gbp6.1","Th1/2"
"Th2vsMixed",0.581171408752712,"Gbp6.1","Th1/2"
"Th1vsMixed",0.0136710865894944,"Gnaq.2","Th1/2"
"Th2vsMixed",0.00154131914693957,"Gnaq.2","Th1/2"
"Th1vsMixed",0.00124070787518332,"Gnpda1","Th1/2"
"Th2vsMixed",0.157404187796049,"Gnpda1","Th1/2"
"Th1vsMixed",0.0191905378246567,"Gnpda1.1","Th1/2"
"Th2vsMixed",0.187646958263152,"Gnpda1.1","Th1/2"
"Th1vsMixed",0.00210007522770076,"Gpr114","Th1/2"
"Th2vsMixed",0.00286270055161129,"Gpr114","Th1/2"
"Th1vsMixed",0.00015339160295234,"Gpr65","Th1/2"
"Th2vsMixed",0.776935432280406,"Gpr65","Th1/2"
"Th1vsMixed",0.0197804458666386,"Gpr83","Th1/2"
"Th2vsMixed",0.00021636548294415,"Gpr83","Th1/2"
"Th1vsMixed",0.0206210038634009,"Gramd3.1","Th1/2"
"Th2vsMixed",0.108165861118269,"Gramd3.1","Th1/2"
"Th1vsMixed",0.000547655049241537,"Gvin1","Th1/2"
"Th2vsMixed",0.197107611849694,"Gvin1","Th1/2"
"Th1vsMixed",0.000536527248796613,"Gypc","Th1/2"
"Th2vsMixed",0.47600253385652,"Gypc","Th1/2"
"Th1vsMixed",0.0683550200130174,"H2-DMb1","Th1/2"
"Th2vsMixed",0.00808009170125313,"H2-DMb1","Th1/2"
"Th1vsMixed",0.868441630881303,"H2-DMb2","Th1/2"
"Th2vsMixed",0.0281176362983517,"H2-DMb2","Th1/2"
"Th1vsMixed",0.0639392557961135,"H2-T10.1","Th1/2"
"Th2vsMixed",0.00582470590568973,"H2-T10.1","Th1/2"
"Th1vsMixed",0.0525089583834251,"H2-T23.1","Th1/2"
"Th2vsMixed",0.0856690008957324,"H2-T23.1","Th1/2"
"Th1vsMixed",0.0471378868735279,"H2-T23.2","Th1/2"
"Th2vsMixed",0.16338978268441,"H2-T23.2","Th1/2"
"Th1vsMixed",0.317900527273783,"H28","Th1/2"
"Th2vsMixed",0.338497737041388,"H28","Th1/2"
"Th1vsMixed",0.0270685095926047,"Hipk2","Th1/2"
"Th2vsMixed",0.544551100582194,"Hipk2","Th1/2"
"Th1vsMixed",0.603629106097374,"Hopx","Th1/2"
"Th2vsMixed",0.1444368326215,"Hopx","Th1/2"
"Th1vsMixed",3.44065652794217e-05,"Hsd11b1.1","Th1/2"
"Th2vsMixed",0.00407315737247916,"Hsd11b1.1","Th1/2"
"Th1vsMixed",0.0298381826265531,"Hsh2d","Th1/2"
"Th2vsMixed",0.107539126297683,"Hsh2d","Th1/2"
"Th1vsMixed",0.00708161648059321,"Id1","Th1/2"
"Th2vsMixed",0.0175525340243015,"Id1","Th1/2"
"Th1vsMixed",0.00305865941405121,"Id2","Th1/2"
"Th2vsMixed",0.52493260853457,"Id2","Th1/2"
