"ftest","pvalue","gene","model"
"Th2vsMixed",0.0872653316372371,"2810452K22Rik","Th1/2"
"Th1vsMixed",0.0248420811192906,"2810452K22Rik.1","Th1/2"
"Th2vsMixed",0.109723266984446,"2810452K22Rik.1","Th1/2"
"Th1vsMixed",0.0541172534268305,"2810474O19Rik","Th1/2"
"Th2vsMixed",0.354454892256725,"2810474O19Rik","Th1/2"
"Th1vsMixed",0.00615085868931292,"2810474O19Rik.2","Th1/2"
"Th2vsMixed",0.035640566362826,"2810474O19Rik.2","Th1/2"
"Th1vsMixed",0.0110665920227166,"2900010M23Rik","Th1/2"
"Th2vsMixed",0.518397959590666,"2900010M23Rik","Th1/2"
"Th1vsMixed",0.399024531629343,"2900024O10Rik","Th1/2"
"Th2vsMixed",0.27526323674508,"2900024O10Rik","Th1/2"
"Th1vsMixed",0.167683311851186,"2900064A13Rik","Th1/2"
"Th2vsMixed",0.445504464610912,"2900064A13Rik","Th1/2"
"Th1vsMixed",0.00713782625890569,"3000004C01Rik","Th1/2"
"Th2vsMixed",0.181307378893169,"3000004C01Rik","Th1/2"
"Th1vsMixed",0.0143437986501066,"3000004C01Rik.1","Th1/2"
"Th2vsMixed",0.141250254557036,"3000004C01Rik.1","Th1/2"
"Th1vsMixed",0.184178176133325,"3000004C01Rik.2","Th1/2"
"Th2vsMixed",0.247589928252371,"3000004C01Rik.2","Th1/2"
"Th1vsMixed",0.432872289248175,"3010026O09Rik","Th1/2"
"Th2vsMixed",0.0531164467622639,"3010026O09Rik","Th1/2"
"Th1vsMixed",7.45211779354049e-06,"3110056O03Rik","Th1/2"
"Th2vsMixed",0.0616753021385087,"3110056O03Rik","Th1/2"
"Th1vsMixed",5.39097543211335e-05,"3110057O12Rik","Th1/2"
"Th2vsMixed",0.574858452438932,"3110057O12Rik","Th1/2"
"Th1vsMixed",0.00233343823303236,"3110057O12Rik.1","Th1/2"
"Th2vsMixed",0.34544923502123,"3110057O12Rik.1","Th1/2"
"Th1vsMixed",0.996631680877929,"3110082I17Rik","Th1/2"
"Th2vsMixed",0.0682607149420722,"3110082I17Rik","Th1/2"
"Th1vsMixed",0.5161042102152,"3200002M19Rik.1","Th1/2"
"Th2vsMixed",0.429623538978072,"3200002M19Rik.1","Th1/2"
"Th1vsMixed",0.000246067034779404,"3300001G02Rik","Th1/2"
"Th2vsMixed",0.397825441301823,"3300001G02Rik","Th1/2"
"Th1vsMixed",0.653368415168736,"4121402D02Rik.1","Th1/2"
"Th2vsMixed",0.0741597952009309,"4121402D02Rik.1","Th1/2"
"Th1vsMixed",0.000277908610912235,"4631427C17Rik","Th1/2"
"Th2vsMixed",0.0230621719610293,"4631427C17Rik","Th1/2"
"Th1vsMixed",0.00179736839696172,"4632417K18Rik","Th1/2"
"Th2vsMixed",0.567084856072395,"4632417K18Rik","Th1/2"
"Th1vsMixed",0.0137354372089483,"4632428N05Rik","Th1/2"
"Th2vsMixed",0.740648777775053,"4632428N05Rik","Th1/2"
"Th1vsMixed",0.0974694719568095,"4732471D19Rik","Th1/2"
"Th2vsMixed",0.00227643813425231,"4732471D19Rik","Th1/2"
"Th1vsMixed",0.00953795869293106,"4732479N06Rik","Th1/2"
"Th2vsMixed",0.295913902566372,"4732479N06Rik","Th1/2"
"Th1vsMixed",0.0597142267828582,"4831426I19Rik.1","Th1/2"
"Th2vsMixed",0.644083597952872,"4831426I19Rik.1","Th1/2"
"Th1vsMixed",0.50370199026481,"4831426I19Rik.2","Th1/2"
"Th2vsMixed",0.170809719121286,"4831426I19Rik.2","Th1/2"
"Th1vsMixed",0.00500705226180629,"4921505C17Rik.1","Th1/2"
"Th2vsMixed",0.214633175614312,"4921505C17Rik.1","Th1/2"
"Th1vsMixed",0.586083786526319,"4930403C10Rik","Th1/2"
"Th2vsMixed",0.242285458220071,"4930403C10Rik","Th1/2"
"Th1vsMixed",0.099015454665937,"4930432O21Rik","Th1/2"
"Th2vsMixed",0.70303472367085,"4930432O21Rik","Th1/2"
"Th1vsMixed",0.0970696771270413,"4930486L24Rik","Th1/2"
"Th2vsMixed",0.00881453455087634,"4930486L24Rik","Th1/2"
"Th1vsMixed",0.0726810903900075,"4930504E06Rik","Th1/2"
"Th2vsMixed",0.362657205329238,"4930504E06Rik","Th1/2"
"Th1vsMixed",0.00253486760716911,"4930504E06Rik.1","Th1/2"
"Th2vsMixed",0.209235787158704,"4930504E06Rik.1","Th1/2"
"Th1vsMixed",0.0675054639989121,"4930534B04Rik","Th1/2"
"Th2vsMixed",0.100474311930616,"4930534B04Rik","Th1/2"
"Th1vsMixed",0.00385266067815412,"4930547N16Rik","Th1/2"
"Th2vsMixed",0.679498767132988,"4930547N16Rik","Th1/2"
"Th1vsMixed",1.01914078285381e-05,"4930583H14Rik","Th1/2"
"Th2vsMixed",0.141914307030649,"4930583H14Rik","Th1/2"
"Th1vsMixed",5.83052296970569e-06,"4931428F04Rik","Th1/2"
"Th2vsMixed",0.137334831984199,"4931428F04Rik","Th1/2"
"Th1vsMixed",0.614165020111879,"4932441K18Rik.1","Th1/2"
"Th2vsMixed",0.00538028632762573,"4932441K18Rik.1","Th1/2"
"Th1vsMixed",0.0507383623692567,"4933421E11Rik","Th1/2"
"Th2vsMixed",0.559976804665961,"4933421E11Rik","Th1/2"
"Th1vsMixed",7.63352829706943e-05,"4933426M11Rik","Th1/2"
"Th2vsMixed",0.421467329466741,"4933426M11Rik","Th1/2"
"Th1vsMixed",0.057312312974461,"4933430I17Rik","Th1/2"
"Th2vsMixed",0.025391190195099,"4933430I17Rik","Th1/2"
"Th1vsMixed",0.000801558069486019,"4933439C20Rik","Th1/2"
"Th2vsMixed",0.667746720819429,"4933439C20Rik","Th1/2"
"Th1vsMixed",0.00507033379526553,"5033414D02Rik","Th1/2"
"Th2vsMixed",0.000894820869521178,"5033414D02Rik","Th1/2"
"Th1vsMixed",0.136136060629804,"5133400G04Rik","Th1/2"
"Th2vsMixed",0.204150298989266,"5133400G04Rik","Th1/2"
"Th1vsMixed",0.000935128765902362,"5133400G04Rik.1","Th1/2"
"Th2vsMixed",0.811665806195902,"5133400G04Rik.1","Th1/2"
"Th1vsMixed",0.0991869165976448,"5133400G04Rik.2","Th1/2"
"Th2vsMixed",0.666878571611531,"5133400G04Rik.2","Th1/2"
"Th1vsMixed",0.157263023990832,"5230400G24Rik","Th1/2"
"Th2vsMixed",0.167465964901718,"5230400G24Rik","Th1/2"
"Th1vsMixed",0.040774766616,"5330401P04Rik","Th1/2"
"Th2vsMixed",0.552922204916898,"5330401P04Rik","Th1/2"
"Th1vsMixed",0.00438021994693238,"5330431N19Rik.1","Th1/2"
"Th2vsMixed",0.293493770381663,"5330431N19Rik.1","Th1/2"
"Th1vsMixed",0.000244861545138907,"5430432M24Rik","Th1/2"
"Th2vsMixed",0.837498277463544,"5430432M24Rik","Th1/2"
"Th1vsMixed",0.0009525126948277,"5630401D24Rik.4","Th1/2"
"Th2vsMixed",0.0707970935035521,"5630401D24Rik.4","Th1/2"
"Th1vsMixed",0.0358879840605932,"5730419I09Rik.1","Th1/2"
"Th2vsMixed",0.157484614484123,"5730419I09Rik.1","Th1/2"
"Th1vsMixed",1.86458886699933e-05,"5730469M10Rik","Th1/2"
"Th2vsMixed",0.165056720825124,"5730469M10Rik","Th1/2"
"Th1vsMixed",4.76767260103766e-08,"5730469M10Rik.1","Th1/2"
"Th2vsMixed",0.750314698678117,"5730469M10Rik.1","Th1/2"
"Th1vsMixed",0.00160818286012651,"5730494M16Rik","Th1/2"
"Th2vsMixed",0.0669779908281403,"5730494M16Rik","Th1/2"
"Th1vsMixed",0.00783444717029059,"5730593F17Rik","Th1/2"
