Unnamed: 0,gene,beta_th1,beta_th2,p_th1,p_th2,padj_th1,padj_th2,th1_sig,th2_sig,category,model,angle,clust_new
339,Gpr114,0.5051564141901111,0.0058502324961283,5.10408794942159e-06,0.953384278759887,5.15387565142957e-05,0.972375997460283,sig,ns,Th1like,Th0,0.01158051409003285,Th1like
340,Gpr83,0.2349292202804668,0.2342508470854086,0.0303777388056709,0.0187509137769217,0.0368564034798661,0.0979639576916726,sig,ns,Th1like,Th0,0.7839522948077072,Superpos
341,Gramd3.1,0.3764326995007954,0.1178345542774823,0.0069148121480696,0.017741707802945,0.0100010842367561,0.0973324974500176,sig,ns,Th1like,Th0,0.30336722233747315,Th1like
342,Gvin1,0.7194425157581792,0.0496050468228042,0.0001755430656278,0.384809342111258,0.0004363012116575,0.615952215488005,sig,ns,Th1like,Th0,0.06884033355236875,Th1like
343,Gypc,0.4129606550306409,0.0626935919772286,0.0001976796993664,0.118289013455428,0.0004774151229982,0.308999871883567,sig,ns,Th1like,Th0,0.15066446367793426,Th1like
344,H2-T10.1,0.566657429117942,0.030385334561679,1.50898641337554e-06,0.573753416724816,4.43578181845028e-05,0.742596253738561,sig,ns,Th1like,Th0,0.053570747642023755,Th1like
345,H2-T23.1,0.7249828335406288,-0.0056297899314291,6.46698657726113e-05,0.909254152954472,0.0002546997790429,0.961855632877458,sig,ns,Th1like,Th0,-0.0077652552767679475,Th1like
346,H2-T23.2,0.7676353612075566,-0.0317997349276388,0.000121532449075,0.572969838734393,0.0003617710112002,0.742596253738561,sig,ns,Th1like,Th0,-0.041401901168016265,Th1like
347,H28,0.6140707767620444,-0.4305717960665917,2.53145435448211e-05,0.0902707770130756,0.0001579691847963,0.271874340180557,sig,ns,Th1like,Th0,-0.6115149048979522,Superpos
348,Hopx,0.0297772269333948,0.2177252145443247,0.269689956136698,0.0824526558164448,0.297588917116356,0.257413169378169,ns,ns,Ind,Th0,1.4348744263148734,Th2like
349,Hsh2d,0.6501065905092032,0.0168975056296021,8.85287324389118e-05,0.884346974567211,0.000312121305841,0.951337215170677,sig,ns,Th1like,Th0,0.025986049393472734,Th1like
350,Id1,0.3590075529576645,0.0464594462047815,0.0006873925155988,0.0760794403076506,0.0013966070158198,0.243454208984482,sig,ns,Th1like,Th0,0.1286955293689211,Th1like
351,Ifi202b,0.3526402741686424,-0.4012700520474645,0.0012391954202616,0.574351790000918,0.0022987973013549,0.742596253738561,sig,ns,Th1like,Th0,-0.8498123246183241,Superpos
352,Ifi202b.1,0.3861125478925551,0.1044664537391991,0.0014834897475739,0.919262643533142,0.0026191267267513,0.96447228173969,sig,ns,Th1like,Th0,0.2642333313146332,Th1like
353,Ifi203,0.6194332230141655,-0.0945260015245224,0.000128220050954,0.313614441462946,0.0003730037845934,0.564542734882445,sig,ns,Th1like,Th0,-0.15143253564038764,Th1like
354,Ifi35,0.7661158571861832,0.0828428206566894,0.0005720211589266,0.277306795360813,0.0012203118057101,0.529780146360956,sig,ns,Th1like,Th0,0.10771501010858232,Th1like
355,Ifih1,0.4896664709416841,-0.336876958043511,0.025768526367373,0.514572475659229,0.0317151093752283,0.708228783703025,sig,ns,Th1like,Th0,-0.6026079742798992,Superpos
356,Ifit2,0.565499670543785,-0.0649178117467105,0.000696951889458,0.573188310510391,0.0014048793992225,0.742596253738561,sig,ns,Th1like,Th0,-0.11429692672557369,Th1like
357,Ifit2.1,0.6574265168910906,-0.1114519979044636,0.0001934470117813,0.21454181191093,0.0004716422382479,0.450186097124574,sig,ns,Th1like,Th0,-0.1679310764604982,Th1like
358,Ifit3,0.9010533451176372,-0.183012953194315,0.0001550302906312,0.551306185893831,0.0004193248488543,0.742596253738561,sig,ns,Th1like,Th0,-0.20038415696834933,Th1like
359,Ifit3.1,0.8185439827116936,-0.0750070357457814,2.67205551271655e-05,0.559156343723314,0.0001579691847963,0.742596253738561,sig,ns,Th1like,Th0,-0.091379505655621,Th1like
360,Ifitm3,0.4597039245705346,0.2662684999519623,2.77030740975839e-05,0.0221825359232448,0.0001579691847963,0.109206330699051,sig,ns,Th1like,Th0,0.5249979719797092,Superpos
361,Ifng,0.1992053199430151,0.2848325917060248,0.0083923442034809,0.0059997736141134,0.0117401099239952,0.0479981889129079,sig,sig,Superpos,Th0,0.9604887082673206,Superpos
362,Ifng.1,0.1924406779156127,0.3170246965647761,0.0034795960311829,0.0065385716622015,0.0056737362037123,0.0507234650158667,sig,ns,Th1like,Th0,1.0252302452409545,Superpos
363,Igtp,0.6535024369342395,0.1885430139692756,0.0328198132906005,0.227967751639302,0.0392610850579146,0.46687795535729,sig,ns,Th1like,Th0,0.2808839120655868,Th1like
