,gene,Th1,Th2,category,model,angle,clust_new
1418,Nrn1,0.872366526641749,0.51415036565878,Ind,Th0,0.5325698098087033,Superpos
1419,Nrp1,0.579914158569683,0.876131708372576,Th2like,Th0,0.9860989389063635,Superpos
1420,Nrp1.1,0.670302949731024,0.9207663689775,Ind,Th0,0.9415351534944597,Superpos
1421,Ntrk3.1,0.817933643831986,0.233576299374714,Th1like,Th0,0.2781651145194628,Th1like
1422,Ntrk3.2,0.851482955111843,0.16026213027586,Ind,Th0,0.18603887899570823,Th1like
1423,Nts,0.107254163692777,-0.0368733347444371,Ind,Th0,-0.3311353996401554,Th1like
1424,Nuak2,1.12200909821611,0.375083130552203,Th1like,Th0,0.32261668564163315,Th1like
1425,Nucb1,0.763150464052417,0.0356761381788735,Th1like,Th0,0.04671448782799774,Th1like
1426,Nucb1.1,0.572788729435225,0.329282109626423,Th1like,Th0,0.5217405816542469,Superpos
1427,Nup107,0.587366006794725,0.300978927294638,Ind,Th0,0.47353529896523655,Superpos
1428,Nusap1,0.799603180499622,0.169925935614357,Th1like,Th0,0.2093976696143102,Th1like
1429,Oas1b,1.40673087808674,-0.164900549058394,Th1like,Th0,-0.11668998829984081,Th1like
1430,Oas1g,1.32848222994762,-0.584172722290644,Th1like,Th0,-0.4142801607735805,Superpos
1431,Oas1g.3,1.16781298670361,-0.753977289317027,Th1like,Th0,-0.5732983514164774,Superpos
1432,Oas2,1.41744781020946,-0.2058041366406,Th1like,Th0,-0.1441858821962338,Th1like
1433,Oas3,0.796864725248556,1.85049861236753,Superpos,Th0,1.1641737619036165,Superpos
1434,Oasl1,0.764482900587198,-0.430879686895941,Th1like,Th0,-0.5132416754233008,Superpos
1435,Oasl1.2,0.837204185363813,-0.289686126964776,Th1like,Th0,-0.3331212885720155,Th1like
1436,Oasl2,1.20340861640873,2.50901551941549,Th1like,Th0,1.123574031125462,Superpos
1437,Oasl2.1,1.24263534178332,1.56853930567973,Th1like,Th0,0.9008145292861252,Superpos
1438,Ociad2,0.976502080299769,0.403019657499763,Superpos,Th0,0.3914215776425943,Th1like
1439,Odf2.1,0.735941172802097,-0.0821419989814088,Th1like,Th0,-0.11115483682469396,Th1like
1440,Ogfrl1.1,1.2787899058349,-0.191564806885249,Th1like,Th0,-0.14869593291823233,Th1like
1441,Oit3.1,-0.31395697099684,0.193688239121069,Ind,Th0,2.588820392120453,Superpos
1442,Optn.1,1.14338332509998,-0.248845705524381,Th1like,Th0,-0.21429794268663102,Th1like
1443,Orc1l,1.3848793641676,-0.298736391458799,Th1like,Th0,-0.21245749517399976,Th1like
1444,Osm,0.636923421114476,0.412404057528858,Th1like,Th0,0.5746114756965206,Superpos
1445,OTTMUSG00000005491,0.719299190354037,0.228506589737532,Th1like,Th0,0.3075965540288373,Th1like
1446,Otx1,1.93668343224568,-2.07444973578834,Th1like,Th0,-0.8197306485685256,Superpos
1447,P2ry1,0.670668555960999,0.114691031348249,Ind,Th0,0.16937162622405244,Th1like
1448,P2ry14,0.55973408107862,0.400254836858657,Superpos,Th0,0.6207754591597079,Superpos
1449,P2ry14.2,0.629340378144661,0.406155508977795,Th1like,Th0,0.5731113773726091,Superpos
1450,P2ry5,0.903485554004997,0.0250209674002128,Th1like,Th0,0.02768674456366863,Th1like
1451,P4ha2,0.647803968657049,0.302625998365385,Th1like,Th0,0.437029527111544,Superpos
1452,Pacsin1.3,0.542377952070532,0.0682304795211576,Ind,Th0,0.12514139880408268,Th1like
1453,Pak4,0.443990456703471,0.557261367059416,Th2like,Th0,0.8980485097800336,Superpos
1454,Pank4,0.946634869364364,0.0527486893432464,Th1like,Th0,0.05566475316708841,Th1like
1455,Parp12,1.08941542740473,-0.447632977191461,Th1like,Th0,-0.38986132675927365,Th1like
1456,Parp14,1.49857223846752,-0.133982795199572,Th1like,Th0,-0.08916987278323327,Th1like
1457,Pbx2.1,1.12989938762724,-0.108372895135708,Th1like,Th0,-0.09562125179982338,Th1like
1458,Pcx,1.18143069995259,0.196446403571131,Th1like,Th0,0.16477087826116601,Th1like
1459,Pde6d.1,0.396473946616258,0.495999350324553,Ind,Th0,0.8964557070379919,Superpos
1460,Pde6d.2,0.640590976274927,0.37666080178603,Ind,Th0,0.5315414790470068,Superpos
