gene,module
Zbtb39,TF
Zbtb4,TF
Zbtb40,TF
Zbtb41,TF
Zbtb42,TF
Zbtb43,TF
Zbtb44,TF
Zbtb45,TF
Zbtb46,TF
Zbtb48,TF
Zbtb49,TF
Zbtb5,TF
Zbtb6,TF
Zbtb7a,TF
Zbtb7b,TF
Zbtb7c,TF
Zbtb8a,TF
Zbtb8b,TF
Zbtb9,TF
Zc3h8,TF
Zcchc4,TF
Zeb1,TF
Zeb2,TF
Zfand5,TF
Zfand6,TF
Zfat,TF
Zfhx2,TF
Zfhx3,TF
Zfhx4,TF
Zfp1,TF
Zfp101,TF
Zfp105,TF
Zfp106,TF
Zfp108,TF
Zfp109,TF
Zfp11,TF
Zfp110,TF
Zfp111,TF
Zfp112,TF
Zfp113,TF
Zfp114,TF
Zfp12,TF
Zfp120,TF
Zfp128,TF
Zfp13,TF
Zfp131,TF
Zfp14,TF
Zfp142,TF
Zfp143,TF
Zfp146,TF
Zfp148,TF
Zfp157,TF
Zfp160,TF
Zfp161,TF
Zfp167,TF
Zfp169,TF
Zfp174,TF
Zfp180,TF
Zfp182,TF
Zfp184,TF
Zfp187,TF
Zfp189,TF
Zfp191,TF
Zfp192,TF
Zfp2,TF
Zfp202,TF
Zfp207,TF
Zfp212,TF
Zfp213,TF
Zfp217,TF
Zfp219,TF
Zfp229,TF
Zfp235,TF
Zfp236,TF
Zfp238,TF
Zfp239,TF
Zfp248,TF
Zfp251,TF
Zfp26,TF
Zfp260,TF
Zfp263,TF
Zfp27,TF
Zfp273,TF
Zfp275,TF
Zfp276,TF
Zfp277,TF
Zfp28,TF
Zfp281,TF
Zfp282,TF
Zfp286,TF
Zfp287,TF
Zfp292,TF
Zfp295,TF
Zfp296,TF
Zfp3,TF
Zfp30,TF
Zfp300,TF
Zfp316,TF
Zfp317,TF
Zfp319,TF
Zfp322a,TF
Zfp324,TF
Zfp326,TF
Zfp329,TF
Zfp334,TF
Zfp335,TF
Zfp341,TF
Zfp345,TF
Zfp35,TF
Zfp352,TF
Zfp354a,TF
Zfp354b,TF
Zfp354c,TF
Zfp358,TF
Zfp36,TF
Zfp362,TF
Zfp365,TF
Zfp366,TF
Zfp367,TF
Zfp369,TF
Zfp37,TF
Zfp382,TF
Zfp420,TF
Zfp384,TF
Zfp386,TF
Zfp39,TF
Zfp397,TF
Zfp398,TF
Zfp40,TF
Zfp407,TF
Zfp408,TF
Zfp41,TF
Zfp410,TF
Zfp418,TF
Zfp42,TF
Zfp422,TF
Zfp423,TF
Zfp426,TF
Zfp429,TF
Zfp438,TF
Zfp442,TF
Zfp444,TF
Zfp445,TF
Zfp446,TF
Zfp449,TF
Zfp451,TF
Zfp454,TF
Zfp455,TF
Zfp456,TF
Zfp457,TF
Zfp458,TF
Zfp459,TF
Zfp46,TF
Zfp462,TF
Zfp467,TF
Zfp472,TF
Zfp473,TF
Zfp488,TF
Zfp498,TF
Zfp503,TF
Zfp507,TF
Zfp51,TF
Zfp512,TF
Zfp513,TF
Zfp516,TF
Zfp518b,TF
Zfp52,TF
Zfp521,TF
Zfp523,TF
Zfp524,TF
Zfp526,TF
Zfp53,TF
Zfp532,TF
Zfp534,TF
Zfp536,TF
Zfp54,TF
Zfp541,TF
Zfp553,TF
Zfp558,TF
Zfp560,TF
Zfp563,TF
Zfp566,TF
Zfp568,TF
Zfp57,TF
Zfp574,TF
Zfp575,TF
Zfp579,TF
Zfp58,TF
Zfp580,TF
Zfp583,TF
Zfp59,TF
Zfp592,TF
Zfp595,TF
Zfp597,TF
Zfp599,TF
Zfp60,TF
Zfp600,TF
Zfp605,TF
Zfp606,TF
Zfp607,TF
Zfp61,TF
Zfp612,TF
Zfp616,TF
Zfp617,TF
Zfp618,TF
Zfp619,TF
Zfp62,TF
Zfp623,TF
Zfp628,TF
Zfp629,TF
Zfp637,TF
Zfp639,TF
Zfp64,TF
Zfp640,TF
Zfp641,TF
Zfp644,TF
Zfp646,TF
Zfp647,TF
Zfp648,TF
Zfp651,TF
Zfp652,TF
Zfp653,TF
Zfp654,TF
Zfp655,TF
Zfp658,TF
Zfp661,TF
Zfp663,TF
Zfp664,TF
Zfp667,TF
Zfp668,TF
Zfp672,TF
Zfp677,TF
Zfp68,TF
Zfp687,TF
Zfp688,TF
Zfp689,TF
Zfp69,TF
Zfp691,TF
Zfp697,TF
Zfp7,TF
Zfp704,TF
Zfp707,TF
Zfp708,TF
Zfp709,TF
Zfp710,TF
Zfp711,TF
Zfp715,TF
Zfp719,TF
Zfp72,TF
Zfp735,TF
Zfp738,TF
Zfp74,TF
Zfp740,TF
Zfp746,TF
Zfp747,TF
Zfp748,TF
Zfp758,TF
Zfp759,TF
Zfp760,TF
Zfp763,TF
Zfp764,TF
Zfp768,TF
Zfp770,TF
Zfp771,TF
Zfp772,TF
Zfp773,TF
Zfp775,TF
Zfp777,TF
Zfp78,TF
Zfp780b,TF
Zfp783,TF
Zfp784,TF
Zfp786,TF
Zfp787,TF
Zfp788,TF
Zfp790,TF
Zfp791,TF
Zfp799,TF
Zfp800,TF
Zfp808,TF
Zfp809,TF
Zfp81,TF
Zfp810,TF
Zfp811,TF
Zfp819,TF
Zfp82,TF
Zfp820,TF
Zfp821,TF
Zfp825,TF
Zfp827,TF
Zfp828,TF
Zfp831,TF
Zfp839,TF
Zfp84,TF
Zfp846,TF
Zfp865,TF
Zfp866,TF
Zfp867,TF
Zfp868,TF
Zfp869,TF
Zfp87,TF
Zfp870,TF
Zfp871,TF
Zfp872,TF
Zfp873,TF
Zfp882,TF
Zfp9,TF
Zfp90,TF
Zfp91,TF
Zfp92,TF
Zfp93,TF
Zfp94,TF
Zfp97,TF
Zfpm1,TF
Zfpm2,TF
Zfx,TF
Zfy1,TF
Zfy2,TF
Zglp1,TF
Zhx1,TF
Zhx2,TF
Zhx3,TF
Zic1,TF
Zic2,TF
Zic3,TF
Zic4,TF
Zic5,TF
Zik1,TF
Zim1,TF
Zkscan1,TF
Zkscan14,TF
Zkscan16,TF
Zkscan17,TF
Zkscan2,TF
Zkscan3,TF
Zkscan4,TF
Zkscan5,TF
Zkscan6,TF
Zmat1,TF
Zmat3,TF
Zmiz1,TF
Zmiz2,TF
Zmym2,TF
Zmynd10,TF
Znf512b,TF
Zscan10,TF
Zscan12,TF
Zscan18,TF
Zscan2,TF
Zscan20,TF
Zscan21,TF
Zscan22,TF
Zscan29,TF
Zscan30,TF
Zscan4c,TF
Zscan5b,TF
Zxdb,TF
Zxdc,TF
Amh,CytoK
Artn,CytoK
Bdnf,CytoK
Bmp10,CytoK
Bmp15,CytoK
Bmp2,CytoK
Bmp3,CytoK
Bmp5,CytoK
Bmp6,CytoK
Bmp8a,CytoK
Bmp8b,CytoK
C3,CytoK
Ccbp2,CytoK
Ccl1,CytoK
Ccl11,CytoK
Ccl12,CytoK
Ccl17,CytoK
Ccl19,CytoK
Ccl2,CytoK
Ccl20,CytoK
Ccl21a,CytoK
Ccl21b,CytoK
Ccl21c,CytoK
Ccl22,CytoK
Ccl24,CytoK
Ccl25,CytoK
Ccl26,CytoK
Ccl27a,CytoK
Ccl28,CytoK
Ccl3,CytoK
Ccl4,CytoK
Ccl5,CytoK
Ccl6,CytoK
Ccl7,CytoK
Ccl8,CytoK
Ccl9,CytoK
Cga,CytoK
Cish,CytoK
Cklf,CytoK
Clcf1,CytoK
Cmtm1,CytoK
Cmtm3,CytoK
Cmtm4,CytoK
Cmtm5,CytoK
Cntf,CytoK
Csf1,CytoK
Csf2,CytoK
Csf3,CytoK
Ctf1,CytoK
Cx3cl1,CytoK
Cxcl1,CytoK
Cxcl10,CytoK
Cxcl11,CytoK
Cxcl12,CytoK
Cxcl13,CytoK
Cxcl14,CytoK
Cxcl15,CytoK
Cxcl16,CytoK
Cxcl17,CytoK
Cxcl2,CytoK
Cxcl3,CytoK
Cxcl5,CytoK
Cxcl9,CytoK
Cytl1,CytoK
Dock2,CytoK
Epo,CytoK
Fgf1,CytoK
Fgf10,CytoK
Fgf11,CytoK
Fgf12,CytoK
Fgf13,CytoK
Fgf14,CytoK
